year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2020,1,sc2,0.63,1,0.45
2020,1,sc3,0.46,1,0.43
2020,1,sc5,0.0,1,0.0
2020,2,sc3,0.52,1,0.52
2020,2,sc5,0.01,1,0.02
2020,3,sc2,0.37,1,0.23
2020,3,sc5,0.07,1,0.07
2020,4,sc5,0.11,0,0.07
2020,5,sc3,0.6,0,0.22
2020,5,sc4,0.49,0,0.24
2020,5,sc5,0.28,0,0.06
2020,6,sc5,0.17,0,0.01
2020,7,sc5,0.18,0,0.01
2020,8,sc2,0.53,0,0.42
2020,8,sc3,0.48,0,0.25
2020,8,sc5,0.16,0,0.03
2020,9,sc2,0.45,1,0.48
2020,9,sc3,0.53,1,0.2
2020,9,sc5,0.09,1,0.05
2020,10,sc2,0.3,1,0.15
2020,10,sc3,0.5,1,0.08
2020,10,sc5,0.14,1,0.02
2020,11,sc5,0.01,1,0.03
2020,12,sc2,0.46,1,0.54
2020,12,sc5,0.0,1,0.0
