year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2020,1,sc2,0.36,1,0.23
2020,1,sc3,0.36,1,0.13
2020,1,sc5,0.31,1,0.11
2020,2,sc2,0.27,1,0.19
2020,2,sc3,0.41,1,0.26
2020,2,sc5,0.22,1,0.22
2020,3,sc1,0.4,1,0.29
2020,3,sc2,0.22,1,0.27
2020,3,sc3,0.39,1,0.15
2020,4,sc2,0.38,1,0.29
2020,4,sc3,0.48,1,0.11
2020,5,sc2,0.22,1,0.35
2020,5,sc3,0.58,1,0.24
2020,6,sc2,0.36,1,0.21
2020,6,sc3,0.52,1,0.1
2020,7,sc2,0.27,1,0.16
2020,7,sc3,0.5,1,0.18
2020,8,sc2,0.37,1,0.3
2020,8,sc3,0.57,1,0.19
2020,9,sc2,0.32,1,0.16
2020,9,sc3,0.5,1,0.12
2020,10,sc2,0.27,1,0.3
2020,10,sc3,0.5,1,0.09
2020,11,sc1,0.35,1,0.31
2020,11,sc2,0.22,1,0.27
2020,11,sc3,0.52,1,0.18
2020,12,sc2,0.21,1,0.31
2020,12,sc3,0.47,1,0.14
2020,12,sc5,0.37,1,0.21
2021,1,sc2,0.29,1,0.08
2021,1,sc3,0.42,1,0.17
2021,1,sc4,0.48,1,0.24
2021,1,sc5,0.35,1,0.18
2021,2,sc2,0.27,1,0.18
2021,2,sc3,0.46,1,0.41
2021,3,sc1,0.47,1,0.29
2021,3,sc2,0.23,1,0.28
2021,4,sc2,0.27,1,0.31
2021,4,sc3,0.5,1,0.05
2021,5,sc1,0.48,1,0.42
2021,5,sc2,0.4,1,0.18
2021,5,sc3,0.55,1,0.16
2021,6,sc2,0.3,1,0.4
2021,6,sc3,0.49,1,0.1
2021,7,sc2,0.24,1,0.2
2021,7,sc3,0.43,1,0.05
2021,8,sc1,1.0,0,0.0
2021,9,sc1,1.0,0,0.0
2021,10,sc1,1.0,0,0.0
2021,11,sc1,1.0,0,0.0
2021,11,sc2,0.29,1,0.19
2021,12,sc2,0.28,1,0.25
2021,12,sc3,0.4,1,0.17
2021,12,sc4,0.4,1,0.41
2021,12,sc5,0.34,1,0.27
2022,1,sc2,0.33,1,0.26
2022,1,sc3,0.38,1,0.08
2022,1,sc5,0.37,1,0.17
2022,2,sc1,0.4,1,0.34
2022,2,sc2,0.34,1,0.26
2022,2,sc3,0.53,1,0.19
2022,2,sc4,0.49,1,0.38
2022,3,sc2,0.21,1,0.33
2022,3,sc3,0.45,1,0.2
2022,4,sc2,0.29,1,0.31
2022,4,sc3,0.51,1,0.17
2022,5,sc1,0.44,1,0.48
2022,5,sc2,0.34,1,0.25
2022,5,sc3,0.58,1,0.07
2022,6,sc1,0.48,1,0.26
2022,6,sc2,0.27,1,0.3
2022,6,sc3,0.46,1,0.25
2022,7,sc2,0.4,1,0.24
2022,7,sc3,0.51,1,0.08
2022,8,sc2,0.38,1,0.25
2022,8,sc3,0.39,1,0.12
2022,9,sc1,0.52,1,0.38
2022,9,sc2,0.38,1,0.19
2022,9,sc3,0.49,1,0.14
2022,10,sc1,0.36,1,0.21
2022,10,sc2,0.12,1,0.25
2022,10,sc3,0.57,1,0.46
2022,11,sc1,0.29,1,0.14
2022,11,sc2,0.15,1,0.25
2022,11,sc3,0.64,1,0.4
2022,12,sc2,0.3,1,0.25
2022,12,sc3,0.36,1,0.14
2022,12,sc5,0.23,1,0.18
2023,1,sc2,0.32,1,0.23
2023,1,sc3,0.52,1,0.45
2023,1,sc5,0.25,1,0.17
2023,2,sc2,0.41,1,0.33
2023,2,sc3,0.49,1,0.19
2023,2,sc5,0.39,1,0.17
