timestamp,ghi_wm2,tamb_c
2021-01-01 00:00:00,25,9.7
2021-01-01 00:10:00,19,9.5
2021-01-01 00:20:00,8,9.4
2021-01-01 00:30:00,0,9.2
2021-01-01 00:40:00,0,9.0
2021-01-01 00:50:00,0,8.9
2021-01-01 01:00:00,0,8.7
2021-01-01 01:10:00,0,8.6
2021-01-01 01:20:00,0,8.5
2021-01-01 01:30:00,0,8.4
2021-01-01 01:40:00,0,8.3
2021-01-01 01:50:00,0,8.2
2021-01-01 02:00:00,0,8.1
2021-01-01 02:10:00,0,8.1
2021-01-01 02:20:00,0,8.0
2021-01-01 02:30:00,0,8.0
2021-01-01 02:40:00,0,7.9
2021-01-01 02:50:00,0,7.9
2021-01-01 03:00:00,0,7.8
2021-01-01 03:10:00,0,7.8
2021-01-01 03:20:00,0,7.8
2021-01-01 03:30:00,0,7.7
2021-01-01 03:40:00,0,7.7
2021-01-01 03:50:00,0,7.7
2021-01-01 04:00:00,0,7.6
2021-01-01 04:10:00,0,7.6
2021-01-01 04:20:00,0,7.6
2021-01-01 04:30:00,0,7.5
2021-01-01 04:40:00,0,7.5
2021-01-01 04:50:00,0,7.5
2021-01-01 05:00:00,0,7.5
2021-01-01 05:10:00,0,7.5
2021-01-01 05:20:00,0,7.5
2021-01-01 05:30:00,0,7.5
2021-01-01 05:40:00,0,7.5
2021-01-01 05:50:00,0,7.5
2021-01-01 06:00:00,0,7.5
2021-01-01 06:10:00,0,7.5
2021-01-01 06:20:00,0,7.5
2021-01-01 06:30:00,0,7.5
2021-01-01 06:40:00,0,7.4
2021-01-01 06:50:00,0,7.4
2021-01-01 07:00:00,0,7.4
2021-01-01 07:10:00,0,7.4
2021-01-01 07:20:00,0,7.4
2021-01-01 07:30:00,0,7.3
2021-01-01 07:40:00,0,7.3
2021-01-01 07:50:00,0,7.3
2021-01-01 08:00:00,0,7.3
2021-01-01 08:10:00,0,7.2
2021-01-01 08:20:00,0,7.2
2021-01-01 08:30:00,0,7.1
2021-01-01 08:40:00,0,7.1
2021-01-01 08:50:00,0,7.0
2021-01-01 09:00:00,0,7.0
2021-01-01 09:10:00,0,6.9
2021-01-01 09:20:00,0,6.9
2021-01-01 09:30:00,0,6.8
2021-01-01 09:40:00,0,6.8
2021-01-01 09:50:00,0,6.8
2021-01-01 10:00:00,0,6.7
2021-01-01 10:10:00,0,6.7
2021-01-01 10:20:00,0,6.7
2021-01-01 10:30:00,0,6.6
2021-01-01 10:40:00,0,6.6
2021-01-01 10:50:00,0,6.6
2021-01-01 11:00:00,0,6.5
2021-01-01 11:10:00,0,6.5
2021-01-01 11:20:00,0,6.4
2021-01-01 11:30:00,0,6.4
2021-01-01 11:40:00,0,6.3
2021-01-01 11:50:00,0,6.3
2021-01-01 12:00:00,0,6.3
2021-01-01 12:10:00,0,6.2
2021-01-01 12:20:00,0,6.1
2021-01-01 12:30:00,0,6.0
2021-01-01 12:40:00,0,5.9
2021-01-01 12:50:00,0,5.8
2021-01-01 13:00:00,0,5.7
2021-01-01 13:10:00,0,5.6
2021-01-01 13:20:00,0,5.5
2021-01-01 13:30:00,0,5.4
2021-01-01 13:40:00,0,5.3
2021-01-01 13:50:00,0,5.2
2021-01-01 14:00:00,0,5.1
2021-01-01 14:10:00,0,5.5
2021-01-01 14:20:00,0,5.8
2021-01-01 14:30:00,0,6.2
2021-01-01 14:40:00,25,6.5
2021-01-01 14:50:00,47,6.8
2021-01-01 15:00:00,74,7.2
2021-01-01 15:10:00,103,7.8
2021-01-01 15:20:00,133,8.3
2021-01-01 15:30:00,164,8.9
2021-01-01 15:40:00,196,9.5
2021-01-01 15:50:00,228,10.0
2021-01-01 16:00:00,259,10.6
2021-01-01 16:10:00,289,11.1
2021-01-01 16:20:00,319,11.6
2021-01-01 16:30:00,348,12.1
2021-01-01 16:40:00,376,12.6
2021-01-01 16:50:00,403,13.1
2021-01-01 17:00:00,426,13.5
2021-01-01 17:10:00,451,13.8
2021-01-01 17:20:00,473,14.1
2021-01-01 17:30:00,494,14.4
2021-01-01 17:40:00,518,14.6
2021-01-01 17:50:00,536,14.9
2021-01-01 18:00:00,553,15.2
2021-01-01 18:10:00,570,15.3
2021-01-01 18:20:00,584,15.5
2021-01-01 18:30:00,595,15.6
2021-01-01 18:40:00,605,15.8
2021-01-01 18:50:00,613,15.9
2021-01-01 19:00:00,619,16.1
2021-01-01 19:10:00,623,16.2
2021-01-01 19:20:00,626,16.2
2021-01-01 19:30:00,626,16.3
2021-01-01 19:40:00,625,16.4
2021-01-01 19:50:00,622,16.4
2021-01-01 20:00:00,617,16.5
2021-01-01 20:10:00,610,16.5
2021-01-01 20:20:00,601,16.5
2021-01-01 20:30:00,591,16.5
2021-01-01 20:40:00,579,16.5
2021-01-01 20:50:00,565,16.5
2021-01-01 21:00:00,549,16.5
2021-01-01 21:10:00,531,16.4
2021-01-01 21:20:00,512,16.4
2021-01-01 21:30:00,492,16.3
2021-01-01 21:40:00,470,16.2
2021-01-01 21:50:00,446,16.1
2021-01-01 22:00:00,422,16.0
2021-01-01 22:10:00,395,15.7
2021-01-01 22:20:00,368,15.5
2021-01-01 22:30:00,340,15.2
2021-01-01 22:40:00,311,14.9
2021-01-01 22:50:00,281,14.6
2021-01-01 23:00:00,250,14.4
2021-01-01 23:10:00,219,14.4
2021-01-01 23:20:00,187,14.4
2021-01-01 23:30:00,155,14.4
2021-01-01 23:40:00,124,14.4
2021-01-01 23:50:00,94,14.4
2021-01-02 00:00:00,65,10.3
2021-01-02 00:10:00,40,10.1
2021-01-02 00:20:00,19,9.8
2021-01-02 00:30:00,0,9.6
2021-01-02 00:40:00,0,9.4
2021-01-02 00:50:00,0,9.2
2021-01-02 01:00:00,0,9.0
2021-01-02 01:10:00,0,8.9
2021-01-02 01:20:00,0,8.8
2021-01-02 01:30:00,0,8.7
2021-01-02 01:40:00,0,8.6
2021-01-02 01:50:00,0,8.5
2021-01-02 02:00:00,0,8.4
2021-01-02 02:10:00,0,8.4
2021-01-02 02:20:00,0,8.4
2021-01-02 02:30:00,0,8.4
2021-01-02 02:40:00,0,8.5
2021-01-02 02:50:00,0,8.5
2021-01-02 03:00:00,0,8.5
2021-01-02 03:10:00,0,8.5
2021-01-02 03:20:00,0,8.5
2021-01-02 03:30:00,0,8.5
2021-01-02 03:40:00,0,8.5
2021-01-02 03:50:00,0,8.5
2021-01-02 04:00:00,0,8.6
2021-01-02 04:10:00,0,8.5
2021-01-02 04:20:00,0,8.5
2021-01-02 04:30:00,0,8.5
2021-01-02 04:40:00,0,8.4
2021-01-02 04:50:00,0,8.4
2021-01-02 05:00:00,0,8.4
2021-01-02 05:10:00,0,8.3
2021-01-02 05:20:00,0,8.2
2021-01-02 05:30:00,0,8.2
2021-01-02 05:40:00,0,8.1
2021-01-02 05:50:00,0,8.1
2021-01-02 06:00:00,0,8.0
2021-01-02 06:10:00,0,7.9
2021-01-02 06:20:00,0,7.9
2021-01-02 06:30:00,0,7.8
2021-01-02 06:40:00,0,7.7
2021-01-02 06:50:00,0,7.7
2021-01-02 07:00:00,0,7.6
2021-01-02 07:10:00,0,7.6
2021-01-02 07:20:00,0,7.5
2021-01-02 07:30:00,0,7.4
2021-01-02 07:40:00,0,7.4
2021-01-02 07:50:00,0,7.3
2021-01-02 08:00:00,0,7.2
2021-01-02 08:10:00,0,7.1
2021-01-02 08:20:00,0,7.0
2021-01-02 08:30:00,0,6.9
2021-01-02 08:40:00,0,6.8
2021-01-02 08:50:00,0,6.7
2021-01-02 09:00:00,0,6.5
2021-01-02 09:10:00,0,6.4
2021-01-02 09:20:00,0,6.3
2021-01-02 09:30:00,0,6.2
2021-01-02 09:40:00,0,6.1
2021-01-02 09:50:00,0,6.0
2021-01-02 10:00:00,0,6.0
2021-01-02 10:10:00,0,5.9
2021-01-02 10:20:00,0,5.9
2021-01-02 10:30:00,0,5.9
2021-01-02 10:40:00,0,5.9
2021-01-02 10:50:00,0,5.9
2021-01-02 11:00:00,0,5.9
2021-01-02 11:10:00,0,5.9
2021-01-02 11:20:00,0,5.9
2021-01-02 11:30:00,0,6.0
2021-01-02 11:40:00,0,6.0
2021-01-02 11:50:00,0,6.0
2021-01-02 12:00:00,0,6.1
2021-01-02 12:10:00,0,6.1
2021-01-02 12:20:00,0,6.0
2021-01-02 12:30:00,0,6.0
2021-01-02 12:40:00,0,6.0
2021-01-02 12:50:00,0,6.0
2021-01-02 13:00:00,0,6.0
2021-01-02 13:10:00,0,6.0
2021-01-02 13:20:00,0,5.9
2021-01-02 13:30:00,0,5.9
2021-01-02 13:40:00,0,5.8
2021-01-02 13:50:00,0,5.8
2021-01-02 14:00:00,0,5.7
2021-01-02 14:10:00,0,6.0
2021-01-02 14:20:00,0,6.3
2021-01-02 14:30:00,0,6.6
2021-01-02 14:40:00,27,6.9
2021-01-02 14:50:00,50,7.2
2021-01-02 15:00:00,78,7.4
2021-01-02 15:10:00,108,7.9
2021-01-02 15:20:00,139,8.4
2021-01-02 15:30:00,170,8.9
2021-01-02 15:40:00,202,9.3
2021-01-02 15:50:00,234,9.8
2021-01-02 16:00:00,265,10.3
2021-01-02 16:10:00,296,10.8
2021-01-02 16:20:00,326,11.2
2021-01-02 16:30:00,355,11.7
2021-01-02 16:40:00,383,12.1
2021-01-02 16:50:00,410,12.6
2021-01-02 17:00:00,436,13.1
2021-01-02 17:10:00,460,13.4
2021-01-02 17:20:00,483,13.8
2021-01-02 17:30:00,505,14.2
2021-01-02 17:40:00,359,14.5
2021-01-02 17:50:00,538,14.9
2021-01-02 18:00:00,555,15.2
2021-01-02 18:10:00,570,15.5
2021-01-02 18:20:00,584,15.7
2021-01-02 18:30:00,595,15.9
2021-01-02 18:40:00,606,16.2
2021-01-02 18:50:00,614,16.4
2021-01-02 19:00:00,620,16.6
2021-01-02 19:10:00,628,16.7
