timestamp,ghi_wm2,poa_wm2,tmod_c,tamb_c
2020-01-01 00:00:00,0.0,1.004,12.954,25.371
2020-01-01 01:00:00,0.0,1.001,11.224,22.15
2020-01-01 02:00:00,0.0,1.009,10.922,21.215
2020-01-01 03:00:00,0.0,1.01,10.769,20.721
2020-01-01 04:00:00,0.0,1.004,9.912,19.55
2020-01-01 05:00:00,0.0,1.005,9.923,19.614
2020-01-01 06:00:00,16.854,17.098,9.794,19.347
2020-01-01 07:00:00,238.557,360.164,22.459,32.395
2020-01-01 08:00:00,467.801,621.754,38.501,43.378
2020-01-01 09:00:00,684.156,829.207,46.629,45.162
2020-01-01 10:00:00,716.688,792.224,44.6,44.644
2020-01-01 11:00:00,809.439,851.765,46.477,44.374
2020-01-01 12:00:00,764.199,769.673,47.967,43.905
2020-01-01 13:00:00,306.052,232.224,32.86,42.023
2020-01-01 14:00:00,107.2,67.311,23.186,37.487
2020-01-01 15:00:00,236.019,134.952,14.858,27.729
2020-01-01 16:00:00,459.959,265.304,25.727,38.559
2020-01-01 17:00:00,92.421,57.955,15.926,28.835
2020-01-01 18:00:00,1.942,1.231,12.359,23.892
2020-01-01 19:00:00,0.233,1.03,13.606,26.415
2020-01-01 20:00:00,0.0,1.024,14.237,27.318
2020-01-01 21:00:00,0.0,1.02,14.516,27.715
2020-01-01 22:00:00,0.028,1.018,14.613,27.921
2020-01-01 23:00:00,0.0,1.017,14.729,27.987
2020-01-02 00:00:00,0.0,1.006,12.216,24.143
2020-01-02 01:00:00,0.0,1.007,12.564,24.636
2020-01-02 02:00:00,0.0,1.01,13.103,25.226
2020-01-02 03:00:00,0.033,1.008,14.011,26.661
2020-01-02 04:00:00,0.023,1.008,14.392,27.231
2020-01-02 05:00:00,0.004,1.04,13.957,26.767
2020-01-02 06:00:00,16.365,14.518,14.406,27.354
2020-01-02 07:00:00,247.59,370.172,16.052,28.923
2020-01-02 08:00:00,480.489,634.598,19.596,32.385
2020-01-02 09:00:00,708.511,852.104,25.678,37.964
2020-01-02 10:00:00,889.709,998.515,33.444,41.868
2020-01-02 11:00:00,1018.668,1091.316,31.139,40.774
2020-01-02 12:00:00,615.109,622.192,28.035,39.68
2020-01-02 13:00:00,514.476,414.675,24.51,37.669
