year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2021,1,sc2,0.46,0,0.24
2021,1,sc3,0.42,0,0.4
2021,1,sc5,0.51,0,0.32
2021,2,sc1,0.57,0,0.46
2021,2,sc2,0.51,0,0.15
2021,2,sc3,0.59,0,0.31
2021,2,sc4,0.51,0,0.16
2021,2,sc5,0.45,0,0.1
2021,3,sc1,0.39,0,0.49
2021,3,sc2,0.4,0,0.13
2021,3,sc3,0.56,0,0.24
2021,3,sc5,0.27,0,0.05
2021,4,sc3,0.48,1,0.51
2021,4,sc5,0.02,1,0.0
2021,5,sc2,0.34,1,0.2
2021,5,sc3,0.34,1,0.22
2021,5,sc5,0.04,1,0.01
2021,6,sc2,0.6,1,0.45
2021,6,sc5,0.0,1,0.0
2021,7,sc5,0.0,1,0.03
2021,8,sc2,0.53,1,0.45
2021,8,sc3,0.5,1,0.34
2021,8,sc5,0.02,1,0.04
2021,9,sc2,0.35,1,0.32
2021,9,sc3,0.51,0,0.18
2021,9,sc5,0.07,1,0.02
2021,10,sc2,0.48,0,0.14
2021,10,sc3,0.52,0,0.22
2021,10,sc5,0.39,0,0.16
2021,11,sc2,0.5,0,0.03
2021,11,sc3,0.69,0,0.15
2021,11,sc5,0.6,0,0.09
2021,12,sc2,0.6,0,0.25
2021,12,sc3,0.55,0,0.22
2021,12,sc5,0.4,0,0.16
